bandwidth	轮廓系数	Calinski-Harabasz指数	分类结果
0.3	0.699633982	2061.027288	"{12:1,0:4528,1:1046,9:42,10:1,5:20,3:35,13:1,14:1,2:450,4:31,6:20,8:2,7:6,11:1,15:1}"
0.31	0.59938504	1346.847239	"{9:1,0:5330,7:288,8:1,4:20,2:36,10:1,1:450,3:31,5:21,6:6,11:1}"
0.32	0.59938504	1346.847239	"{9:1,0:5330,7:288,8:1,4:20,2:36,10:1,1:450,3:31,5:21,6:6,11:1}"
0.33	0.59938504	1346.847239	"{9:1,0:5330,7:288,8:1,4:20,2:36,10:1,1:450,3:31,5:21,6:6,11:1}"
0.34	0.597694586	1435.724256	"{8:1,0:5336,6:288,7:1,4:20,2:36,9:1,1:450,3:31,5:21,10:1}"
0.35	0.607825261	885.4362215	"{5:1,0:5651,1:37,3:20,6:1,2:466,4:9,7:1}"
0.36	0.607825261	885.4362215	"{5:1,0:5651,1:37,3:20,6:1,2:466,4:9,7:1}"
0.37	0.607825261	885.4362215	"{5:1,0:5651,1:37,3:20,6:1,2:466,4:9,7:1}"
0.38	0.607825261	885.4362215	"{5:1,0:5651,1:37,3:20,6:1,2:466,4:9,7:1}"
0.39	0.683044318	419.8315782	"{5:1,0:6086,1:36,3:20,6:1,7:1,2:31,4:9,8:1}"
0.4	0.714717906	406.0821855	"{4:1,0:6117,1:36,2:20,5:1,6:1,3:9,7:1}"
